"No","Name","Price","Quantity"
1,"ฝรั่งไร้เมล็ด – เบอร์ใหญ่","0-0","กิโลกรัม"
2,"ชมพู่ทับทิมจันทร์ – เบอร์เล็ก","18-25","กิโลกรัม"
3,"ลิ้นจี่จีน(นอก) – กลาง 16กก (8ตะกร้า*2กก)","530-930","ตะกร้า"
4,"ลิ้นจี่จีน(นอก) – ขายปลีก ตะกร้า (2กก)","400-600","ตะกร้า"
5,"กล้วยหอมห่าม (เข่ง 7 หวี) – เบอร์เล็ก","250-260","เข่ง"
6,"กล้วยเล็บมือนาง ขนาดใหญ่","0-0","หวี"
7,"กล้วยหอมสุก (เข่ง 7 หวี) – เบอร์เล็ก","250-250","เข่ง"
8,"กล้วยหักมุก ขนาดเล็ก","0-0","หวี"
9,"กล้วยหักมุก ขนาดกลาง","0-0","หวี"
10,"ขนุนอ่อน ปอกเปลือก","0-0","กิโลกรัม"
11,"สับปะรดแกง (ศรีราชา) ขนาดกลาง","0-0","กิโลกรัม"
12,"สับปะรดภูแล คละขนาด","0-0","กิโลกรัม"
13,"สับปะรดภูแล ขนาดใหญ่","0-0","กิโลกรัม"
14,"สับปะรดแกง (ศรีราชา) ขนาดใหญ่","0-0","กิโลกรัม"
15,"สับปะรดภูแล ขนาดกลาง","0-0","กิโลกรัม"
16,"องุ่นเขียว ไทย","65-70","กิโลกรัม"
17,"องุ่นดำไทย","0-0","กิโลกรัม"
18,"แตงโมจินตหรา – เบอร์เล็ก","0-0",""
19,"แตงโมแคนาดา – เบอร์ใหญ่","0-0",""
20,"แตงโมจินตหรา – เบอร์กลาง","0-0","ต่อชิ้น/ตัว/หัว/ลูก"
21,"แตงโมสวีทโกลด์ – เบอร์กลาง","0-0",""
22,"แตงโมสวีทโกลด์ – เบอร์ใหญ่","0-0","ต่อชิ้น/ตัว/หัว/ลูก"
23,"แตงโมกินรี คละขนาด","0-0","ต่อชิ้น/ตัว/หัว/ลูก"
24,"แตงโมน้ำผึ้ง(เนื้อเหลือง) – เบอร์ใหญ่","22-24",""
25,"แตงโมน้ำผึ้ง(เนื้อเหลือง) – เบอร์กลาง","0-0",""
26,"แตงโมซอนญ่า – เบอร์เล็ก","12-16",""
27,"แตงโมซอนญ่า – เบอร์ใหญ่","100-130","ต่อชิ้น/ตัว/หัว/ลูก"
28,"แตงโมไดอาน่า – เบอร์กลาง","0-0",""
29,"แตงโมแคนาดา – เบอร์กลาง","0-0",""
30,"แตงโมตอปิโด – เบอร์เล็ก","0-0",""
31,"มะขามหวานสีชมพู – เบอร์ A","60-65",""
32,"มะขามหวานประกายทอง","65-110",""
33,"มะขามเทศสีชมพู ขนาดใหญ่","60-60",""
34,"มะขามหวานขันตรี","90-90",""
35,"มะขามหวาน","0-0","กิโลกรัม"
36,"เมลอน ขนาดกลาง","30-35","กิโลกรัม"
37,"เมลอน พันธุ์ญี่ปุ่น เนื้อเขียว ขนาดกลาง","100-120","กิโลกรัม"
38,"เมลอน พันธุ์ญี่ปุ่น เนื้อส้ม คละขนาด","100-120","กิโลกรัม"
39,"เมลอน พันธุ์ญี่ปุ่น เนื้อเขียว ขนาดเล็ก","100-120","กิโลกรัม"
40,"เมลอน พันธุ์ญี่ปุ่น เนื้อส้ม ขนาดใหญ่","100-120","กิโลกรัม"
41,"เมลอน พันธุ์ไทย เนื้อเขียว ขนาดเล็ก","0-0",""
42,"เมลอน ขนาดใหญ่","45-50","กิโลกรัม"
43,"เมลอน พันธุ์ญี่ปุ่น เนื้อเขียว ขนาดใหญ่","100-120","กิโลกรัม"
44,"มะละกอแขกนวล ขนาดกลาง","0-0","กิโลกรัม"
45,"มะละกอแขกนวล ขนาดจัมโบ้","0-0","กิโลกรัม"
46,"มะละกอแขกดำ ขนาดจัมโบ้","0-0","กิโลกรัม"
47,"มะละกอแขกนวล ขนาดเล็ก","0-0","กิโลกรัม"
48,"มะละกอแขกนวล คละขนาด","0-0","กิโลกรัม"
